i;t;s;bs;T;
550;15.123;2995.8;2965.29;43.0467;
551;15.137;2991.86;2965.29;43.0467;
552;15.152;2988.54;2965.29;43.0467;
553;15.167;2984.38;2965.29;43.0467;
554;15.184;2979.78;2965.29;43.0467;
555;15.198;2979.78;2965.29;43.0467;
556;15.213;2979.71;2965.29;43.0467;
557;15.23;2975.66;2965.29;43.0467;
558;15.246;2975.66;2965.29;43.0467;
559;15.262;2975.66;2965.29;43.0467;
560;15.277;2975.9;2965.29;43.0467;
561;15.292;2975.89;2965.29;43.0467;
562;15.308;2975.9;2965.29;43.0467;
563;15.323;2975.9;2965.29;43.0467;
564;15.338;2966.67;2965.29;43.0467;
565;15.353;2966.67;2965.29;43.0467;
566;15.368;2966.67;2965.29;43.0467;
567;15.383;2970.6;2965.29;43.0467;
568;15.399;2968.4;2965.29;43.0467;
569;15.413;2970.19;2965.29;43.0467;
570;15.43;2970.17;2965.29;43.0467;
571;15.445;2977.03;2965.29;43.0467;
572;15.463;2976.7;2965.29;43.0467;
573;15.48;2976.81;2965.29;43.0467;
574;15.495;2979.01;2965.29;43.0467;
575;15.511;2979.01;2965.29;43.0467;
576;15.527;2979.01;2965.29;43.0467;
577;15.542;2979.01;2965.29;43.0467;
578;15.557;2979.01;2965.29;43.0467;
579;15.573;2982.44;2965.29;43.0467;
580;15.589;2982.51;2965.29;43.0467;
581;15.604;2985.11;2965.29;43.0467;
582;15.619;2983.22;2965.29;43.0467;
583;15.634;2983.68;2965.29;43.0467;
584;15.652;2986.16;2965.29;43.0467;
585;15.666;2982.62;2965.29;43.0467;
586;15.683;2980.13;2965.29;43.0467;
587;15.698;2980.13;2965.29;43.0467;
588;15.715;2978.08;2965.29;43.0467;
589;15.73;2973.85;2965.29;43.0467;
590;15.746;2973.85;2965.29;43.0467;
591;15.761;2974.78;2965.29;43.0467;
592;15.779;2972.58;2965.29;43.0467;
593;15.793;2976.63;2965.29;43.0467;
594;15.81;2978.53;2965.29;43.0467;
595;15.825;2975.09;2965.29;43.0467;
596;15.841;2974.72;2965.29;43.0467;
597;15.855;2974.27;2965.29;43.0467;
598;15.871;2974.27;2965.29;43.0467;
599;15.886;2974.27;2965.29;43.0467;
600;15.902;2974.27;2965.29;43.0467;
601;15.917;2974.64;2965.29;38.742;
602;15.932;2978.29;2965.29;38.742;
603;15.946;2978.29;2965.29;38.742;
604;15.962;2977.91;2965.29;38.742;
605;15.978;2974.9;2965.29;38.742;
606;15.995;2974.92;2965.29;38.742;
607;16.011;2979.15;2965.29;38.742;
608;16.025;2980.79;2965.29;38.742;
609;16.042;2980.78;2965.29;38.742;
610;16.057;2980.78;2965.29;38.742;
611;16.072;2980.78;2965.29;38.742;
612;16.089;2980.22;2965.29;38.742;
613;16.104;2975.99;2965.29;38.742;
614;16.12;2976.02;2965.29;38.742;
615;16.135;2979.03;2965.29;38.742;
616;16.151;2977.25;2965.29;38.742;
617;16.166;2979.83;2965.29;38.742;
618;16.183;2979.83;2965.29;38.742;
619;16.197;2976.82;2965.29;38.742;
620;16.213;2979.36;2965.29;38.742;
621;16.228;2986.01;2965.29;38.742;
622;16.243;3010.18;2965.29;38.742;
623;16.259;3010.42;2965.29;38.742;
624;16.276;3010.4;2965.29;38.742;
625;16.293;3007.86;2965.29;38.742;
626;16.308;3012.09;2965.29;38.742;
627;16.325;3012.09;2965.29;38.742;
628;16.339;3012.09;2965.29;38.742;
629;16.356;3012.07;2965.29;38.742;
630;16.37;3012.08;2965.29;38.742;
631;16.387;3008.03;2965.29;38.742;
632;16.403;3008.03;2965.29;38.742;
633;16.419;3006.39;2965.29;38.742;
634;16.435;3001.99;2965.29;38.742;
635;16.451;3004.19;2965.29;38.742;
636;16.466;2987.42;2965.29;38.742;
637;16.482;2990.93;2965.29;38.742;
638;16.497;2990.7;2965.29;38.742;
639;16.513;2990.7;2965.29;38.742;
640;16.527;2990.7;2965.29;38.742;
641;16.542;2990.7;2965.29;38.742;
642;16.557;3008.88;2965.29;38.742;
643;16.573;3002.74;2965.29;38.742;
644;16.587;2984.56;2965.29;38.742;
645;16.603;2984.04;2965.29;38.742;
646;16.619;3002.22;2965.29;38.742;
647;16.636;3000.56;2965.29;38.742;
648;16.653;2996.33;2965.29;38.742;
649;16.669;2995.59;2965.29;38.742;
650;16.685;2986.55;2965.29;38.742;
651;16.701;2986.55;2965.29;38.742;
